Ward_name,Price,Schools_number,Crimes_number
Bickley,605184,9,822
Beverley,465628,3,1180
Bethnal Green,497857,0,3379
Berrylands,488174,2,613
Bensham Manor,281112,7,1364
Belvedere,211025,7,1597
Belsize,1052069,8,1250
Belmont,574620,6,490
Belmont,574620,6,1120
Bellingham,311490,11,1880
Bedford,655903,4,912
Bedfont,282414,4,1385
Beddington South,465370,7,922
Beddington North,339093,4,864
Becontree,253269,2,1375
Beckton,294946,4,2585
Bayswater,1303804,3,1593
Barnsbury,1013045,4,1102
Barnhill,458695,11,1631
Barnhill,458695,11,3343
Barnes,1713441,8,678
Barnehurst,298281,6,692
Barkingside,395232,3,1220
Balham,905590,4,1648
Avonmore and Brook Green,909276,9,1209
Askew,659043,4,1293
Alperton,344342,3,1498
Alibon,244132,3,1065
Alexandra,760982,6,505
Alexandra,760982,6,1493
Aldborough,351854,5,1338
Addison,900353,3,1700
Acton Central,649509,5,1574
Abingdon,1788085,1,1140
Abbey Wood,295853,6,1876
Abbey Road,1309680,11,899
Abbey,213651,11,2804
Abbey,213651,11,6283
Valley,324900,3,3222
Riverside,908488,7,1891
Forest,429449,3,2537
Abbey,213651,11,8939
Victoria,612380,4,3583
Trinity,663395,3,3095
Queens Park,1002505,10,3637
Jubilee,298257,7,2197
Grange,479123,6,1916
Town,400980,13,4013
St Mary's,423392,0,3601
West End,1924093,3,167
Victoria,612380,4,5005
St Mary's,423392,0,4018
St James,518335,0,1177
Shaftesbury,808708,7,2364
Hale,528963,9,1656
Alexandra,760982,6,4176
Coombe Hill,935334,7,845
Springfield,438375,12,6481
Christchurch,327757,4,2727
Chadwell,281223,5,2218
St James,518335,0,2097
Preston,415053,7,2107
Ashburton,372295,3,284
Kilburn,599224,11,5075
Fairfield,330277,26,8036
Abbey,213651,11,11239
Dalston,625354,6,2771
Brampton,359695,4,1395
Queen's Park,642058,5,2176
Trinity,663395,3,5130
